Uuid,Void/Retire,Short name:en,Fully specified name:en,Fully specified name:fr,Data class,Data Type,Members,_version:1,_order:500
${var.concept.national.item-3332a02d.uuid},,,Hydrocortisone & Acetic Acid,Hydrocortisone et acid acétique,Drug,N/A,,,
${var.concept.national.item-3673e2b5.uuid},,,Hydrocortisone hemorrhoidal,Hydrocortisone hémorroïdaire,Drug,N/A,,,
${var.concept.national.item-fd8e84b9.uuid},,,Hydrogen Peroxide,Peroxyde d'hydrogene,Drug,N/A,,,
${var.concept.ciel.431.uuid},,,Hyoscine Butylbromide,Butylbromure d'hyoscine,Drug,N/A,,,
${var.concept.ciel.77897.uuid},,,Ibuprofen,Ibuprofene,Drug,N/A,,,
${var.concept.national.item-46a9fa37.uuid},,,Ibuprofen & Paracetamol,Ibuprofene et paracétamol,Drug,N/A,,,
${var.concept.national.item-1550184e.uuid},,,Indomethacin,Indométhacine,Drug,N/A,,,
${var.concept.national.item-aee5f376.uuid},,,Insulin,Insuline,Drug,N/A,,,
${var.concept.national.item-6e1f9544.uuid},,,Insulin (Fast & Long Acting),Insuline (Action rapide et longue),Drug,N/A,,,
${var.concept.national.item-468716a5.uuid},,,Insulin NPH,Insuline NPH,Drug,N/A,,,
${var.concept.national.item-ddc56548.uuid},,,Insulin regular,Insuline réguliere,Drug,N/A,,,
${var.concept.national.item-3fce12df.uuid},,,Ipratropium,Ipratropium,Drug,N/A,,,
${var.concept.national.item-d5a8fc85.uuid},,,Ipratropium Bromide,Bromure d'ipratropium,Drug,N/A,,,
${var.concept.national.item-36b65481.uuid},,,Ipratropium bromide & albuterol,Bromure d'ipratropium et albuterol,Drug,N/A,,,
${var.concept.national.item-83c9a8d1.uuid},,,Isoniazid,Lisoniazide,Drug,N/A,,,
${var.concept.national.item-91e206fa.uuid},,,Isosorbide dinitrate,Isosorbide dinitrate,Drug,N/A,,,
${var.concept.national.item-c65d61af.uuid},,,Isosorbide Mononitrate,Mononitrate d'isosorbide,Drug,N/A,,,
${var.concept.ciel.78342.uuid},,,Ivermectin,Ivermectine,Drug,N/A,,,
${var.concept.national.item-0d4c670b.uuid},,,Johnson & Johnson Covid 19 Vaccine,Johnson & Johnson Covid 19 Vaccine,Drug,N/A,,,
${var.concept.national.item-bc2a1619.uuid},,,Ketamine,Kétamine,Drug,N/A,,,
${var.concept.national.item-73e9e187.uuid},,,Ketoconazole,Kétoconazole,Drug,N/A,,,
${var.concept.national.item-cecfff9f.uuid},,,Ketorolac,Kétorolac,Drug,N/A,,,
${var.concept.national.item-f9c6a3f8.uuid},,,Labetalol,Labétalol,Drug,N/A,,,
${var.concept.ciel.78632.uuid},,,Lactulose,Lactulose,Drug,N/A,,,
${var.concept.national.item-55f59f64.uuid},,,Lamivudine (3TC),Lamivudine (3TC),Drug,N/A,,,
${var.concept.national.item-dd2af8e4.uuid},,,Lamivudine & Tenofovir,Lamivudine & Tenofovir,Drug,N/A,,,
${var.concept.national.item-6a5c3069.uuid},,,Lansoprazole,Lansoprazole,Drug,N/A,,,
${var.concept.national.item-c2d40d92.uuid},,,Latanoprost,Latanoprost,Drug,N/A,,,
${var.concept.national.item-55db5ea6.uuid},,,Levabuterol,Levabutérol,Drug,N/A,,,
${var.concept.national.item-98dbb9b2.uuid},,,Levofloxacin,Lévofloxacine,Drug,N/A,,,
${var.concept.national.item-71eb922d.uuid},,,Levonorgestrel,Levonorgestrel,Drug,N/A,,,
${var.concept.national.item-9ee39084.uuid},,,Levonorgestrel & Ethinylestradiol,Lévonorgestrel et éthinyl estradiol,Drug,N/A,,,
${var.concept.national.item-b2727136.uuid},,,"Levonorgestrel, Ethinylestradiol","Levonorgestrel, Ethinylestradiol",Drug,N/A,,,
${var.concept.national.item-e61d0a67.uuid},,,Levothyroxine,Lévothyroxine,Drug,N/A,,,
${var.concept.ciel.78849.uuid},,,Lidocaine,Lidocaïne,Drug,N/A,,,
${var.concept.national.item-5c07fc3a.uuid},,,Lidocaine & Epinephrine,Lidocaine & Epinephrine,Drug,N/A,,,
${var.concept.national.item-4c7472fd.uuid},,,Lidocaine w & epinephrine dental,Lidocaine w & epinephrine dental,Drug,N/A,,,
${var.concept.national.item-7eb9a61f.uuid},,,Lignocaine,Lignocaïne,Drug,N/A,,,
${var.concept.national.item-c38432d2.uuid},,,Lignocaine & Adrenaline,Lignocaïne et adrénaline,Drug,N/A,,,
${var.concept.national.item-63405d09.uuid},,,Lopinavir & Ritonavir (LPV/r),Lopinavir & Ritonavir (LPV/r),Drug,N/A,,,
${var.concept.national.item-2950f6c0.uuid},,,Loratadine,Loratadine,Drug,N/A,,,
${var.concept.national.item-502a66e9.uuid},,,Losartan,Losartan,Drug,N/A,,,
${var.concept.national.item-0bdba7cc.uuid},,,Magnesium,Magnésium,Drug,N/A,,,
${var.concept.national.item-00fe2104.uuid},,,Mannitol,Mannitol,Drug,N/A,,,
${var.concept.national.item-7a849926.uuid},,,Measles Rubella Vaccine (MR),Vaccin rubéole rougeole (RR),Drug,N/A,,,
${var.concept.national.item-00e041c7.uuid},,,Medroxyprogesterone,Médroxyprogestérone,Drug,N/A,,,
