Uuid,Void/Retire,Name,Concept Drug,Concept Dosage Form,Strength,_version:1
${var.drug.pharmacy.item-b368b7f7.uuid},,Ringers Lactate (RL),${var.concept.national.item-b368b7f7.uuid},,,
${var.drug.pharmacy.item-7dc377e9.uuid},,Rotavirus Vaccine (Rota),${var.concept.national.item-7dc377e9.uuid},,,
${var.drug.pharmacy.item-1dd509c8.uuid},,Salbutamol & Bromhexine,${var.concept.national.item-1dd509c8.uuid},,,
${var.drug.pharmacy.item-e1b3ec78.uuid},,Salbutamol & Ipratropium bromide,${var.concept.national.item-e1b3ec78.uuid},,,
${var.drug.pharmacy.item-702e6e2b.uuid},,Saline,${var.concept.national.item-702e6e2b.uuid},,,
${var.drug.pharmacy.item-f7977809.uuid},,Saline flush,${var.concept.national.item-f7977809.uuid},,,
${var.drug.pharmacy.item-e0e07cd2.uuid},,Senna,${var.concept.national.item-e0e07cd2.uuid},,,
${var.drug.pharmacy.item-facb9b18.uuid},,Serum antitetatique,${var.concept.national.item-facb9b18.uuid},,,
${var.drug.pharmacy.item-26eafc63.uuid},,Silver Sulphadiazine,${var.concept.national.item-26eafc63.uuid},,,
${var.drug.pharmacy.item-e5a0d185.uuid},,Sodium hyaluronate & Oxymetazoline,${var.concept.national.item-e5a0d185.uuid},,,
${var.drug.pharmacy.item-ecff0e05.uuid},,Sodium phosphate (Fleet's),${var.concept.national.item-ecff0e05.uuid},,,
${var.drug.pharmacy.item-136d7f67.uuid},,Someticone,${var.concept.national.item-136d7f67.uuid},,,
${var.drug.pharmacy.item-2a1522a5.uuid},,Sprironolactone,${var.concept.national.item-2a1522a5.uuid},,,
${var.drug.pharmacy.item-becdbefb.uuid},,Sulfamethoxazole & Trimethoprim,${var.concept.national.item-becdbefb.uuid},,,
${var.drug.pharmacy.item-dc93032f.uuid},,Tenofovir,${var.concept.national.item-dc93032f.uuid},,,
${var.drug.pharmacy.item-f97877a1.uuid},,Tetanus Immunoglobulin,${var.concept.national.item-f97877a1.uuid},,,
${var.drug.pharmacy.item-98b66058.uuid},,Tetracycline Ophtalmic,${var.concept.national.item-98b66058.uuid},,,
${var.drug.pharmacy.item-33bf57ae.uuid},,Tiotropium powder,${var.concept.national.item-33bf57ae.uuid},,,
${var.drug.pharmacy.item-587a6e6e.uuid},,Tobramycin & Dexamethasone,${var.concept.national.item-587a6e6e.uuid},,,
${var.drug.pharmacy.item-a52f6561.uuid},,Tocopherol,${var.concept.national.item-a52f6561.uuid},,,
${var.drug.pharmacy.item-af2ea7b7.uuid},,Tolnoftate,${var.concept.national.item-af2ea7b7.uuid},,,
${var.drug.pharmacy.ciel-85275.uuid},,Tramadol,${var.concept.ciel.85275.uuid},,,
${var.drug.pharmacy.item-fefa8262.uuid},,Tramadol & Acetaminophen,${var.concept.national.item-fefa8262.uuid},,,
${var.drug.pharmacy.ciel-85286.uuid},,Tranexamic Acid,${var.concept.ciel.85286.uuid},,,
${var.drug.pharmacy.item-6f53a9b8.uuid},,Trobramycin,${var.concept.national.item-6f53a9b8.uuid},,,
${var.drug.pharmacy.item-2e5adbd4.uuid},,Trypsin Chymotrypsin,${var.concept.national.item-2e5adbd4.uuid},,,
${var.drug.pharmacy.item-0a3353a4.uuid},,Tuberculin Purified Protein Derivative (PPD),${var.concept.national.item-0a3353a4.uuid},,,
${var.drug.pharmacy.ciel-86052.uuid},,Valproic Acid,${var.concept.ciel.86052.uuid},,,
${var.drug.pharmacy.item-fb9b6f7f.uuid},,Vasopressin,${var.concept.national.item-fb9b6f7f.uuid},,,
${var.drug.pharmacy.item-b7bab21f.uuid},,Vitamin C,${var.concept.national.item-b7bab21f.uuid},,,
${var.drug.pharmacy.item-f2300d2e.uuid},,Vitamins A and D,${var.concept.national.item-f2300d2e.uuid},,,
${var.drug.pharmacy.item-32369173.uuid},,Zidovudine & Lamivudine & Nevirapine (AZT/3TC/NVP),${var.concept.national.item-32369173.uuid},,,
${var.drug.pharmacy.item-72e3dc8b.uuid},,Zidovudine & Lamivudine (AZT/3TC),${var.concept.national.item-72e3dc8b.uuid},,,
${var.drug.pharmacy.item-e14ca630.uuid},,Zidovudine (AZT),${var.concept.national.item-e14ca630.uuid},,,
